Order Date	Order ID	Quantity	Customer Name	Segment	Product Name	Category	Manufacturer	City	State	Region	Ship Date	Ship Mode	Discount	Profit	Profit Ratio	Sales
1/18/2015	CA-2015-101560	7	Chris Selesnick	Corporate	Xerox 1933	Office Supplies	Xerox	Columbia	South Carolina	South	1/28/2015	Second Class	0.00%	$40.00	47.00%	$86.00
1/19/2015	CA-2015-101560	5	Chris Selesnick	Corporate	Eldon Cleatmat Plus Chair Mats for High Pile Carpets	Furniture	Eldon	Columbia	South Carolina	South	1/28/2015	Second Class	0.00%	$44.00	11.00%	$398.00
1/19/2015	CA-2015-101602	3	Mick Crebagga	Consumer	ARKON Windshield Dashboard Air Vent Car Mount Holder	Technology	Other	El Paso	Texas	Central	1/31/2015	First Class	20.00%	-$9.00	-23.00%	$41.00
1/19/2015	CA-2015-101602	5	Mick Crebagga	Consumer	Lifetime Advantage Folding Chairs, 4/Carton	Furniture	Other	El Paso	Texas	Central	1/31/2015	First Class	30.00%	-$22.00	-3.00%	$763.00
1/19/2015	CA-2015-101770	1	Karen Bern	Corporate	Avery Hole Reinforcements	Office Supplies	Avery	Miami	Florida	South	1/25/2015	Standard Class	70.00%	-$1.00	-70.00%	$2.00
1/20/2015	CA-2015-101833	3	Frank Gastineau	Home Office	Southworth 100% Cotton The Best Paper	Office Supplies	Southworth	New York City	New York	East	1/23/2015	Second Class	0.00%	$17.00	50.00%	$34.00
1/20/2015	CA-2015-101931	2	Todd Sumrall	Corporate	Serrated Blade or Curved Handle Hand Letter Openers	Office Supplies	Other	Los Angeles	California	West	1/23/2015	First Class	0.00%	$0.00	1.00%	$6.00
1/20/2015	CA-2015-101931	2	Todd Sumrall	Corporate	Avery Non-Stick Binders	Office Supplies	Avery	Los Angeles	California	West	1/23/2015	First Class	20.00%	$2.00	31.00%	$7.00
1/20/2015	CA-2015-101931	5	Todd Sumrall	Corporate	Eldon Portable Mobile Manager	Office Supplies	Eldon	Los Angeles	California	West	1/23/2015	First Class	0.00%	$38.00	27.00%	$141.00
1/20/2015	CA-2015-101931	2	Todd Sumrall	Corporate	Premier Automatic Letter Opener	Office Supplies	Other	Los Angeles	California	West	1/23/2015	First Class	0.00%	$14.00	3.00%	$481.00
1/20/2015	CA-2015-101931	6	Todd Sumrall	Corporate	O'Sullivan Living Dimensions 2-Shelf Bookcases	Furniture	O'Sullivan	Los Angeles	California	West	1/23/2015	First Class	15.00%	-$36.00	-6.00%	$617.00
1/20/2015	CA-2015-102008	1	Russell Applegate	Consumer	Tops Green Bar Computer Printout Paper	Office Supplies	Other	New York City	New York	East	2/1/2015	Standard Class	0.00%	$24.00	50.00%	$49.00
1/20/2015	CA-2015-102085	4	Joy Daniels	Consumer	Avery 519	Office Supplies	Avery	Seattle	Washington	West	1/22/2015	Standard Class	0.00%	$14.00	47.00%	$29.00
1/20/2015	CA-2015-102274	3	Dave Hallsten	Corporate	Newell 322	Office Supplies	Newell	Richmond	Kentucky	South	1/21/2015	Standard Class	0.00%	$1.00	27.00%	$5.00
1/20/2015	CA-2015-102274	1	Dave Hallsten	Corporate	Logitech B530 USB Headset - headset - Full size, Binaural	Technology	Logitech	Richmond	Kentucky	South	1/21/2015	Standard Class	0.00%	$10.00	27.00%	$37.00
1/20/2015	CA-2015-102274	3	Dave Hallsten	Corporate	Space Solutions Commercial Steel Shelving	Office Supplies	Space Solutions	Richmond	Kentucky	South	1/21/2015	Standard Class	0.00%	$10.00	5.00%	$194.00
1/20/2015	CA-2015-102274	6	Dave Hallsten	Corporate	Multicolor Computer Printout Paper	Office Supplies	Other	Richmond	Kentucky	South	1/21/2015	Standard Class	0.00%	$302.00	48.00%	$629.00
1/20/2015	CA-2015-102295	1	Erica Hackney	Consumer	Global Leather & Oak Executive Chair, Burgundy	Furniture	Global	Sacramento	California	West	1/28/2015	Second Class	20.00%	-$18.00	-15.00%	$121.00
1/20/2015	CA-2015-102330	6	Arianne Irving	Consumer	Alphabetical Labels for Top Tab Filing	Office Supplies	Other	Brentwood	California	West	1/31/2015	Standard Class	0.00%	$44.00	50.00%	$89.00
1/20/2015	CA-2015-102330	4	Arianne Irving	Consumer	HTC One	Technology	HTC	Brentwood	California	West	1/31/2015	Standard Class	20.00%	$36.00	11.00%	$320.00
1/20/2015	CA-2015-102645	6	Ionia McGrath	Consumer	Xerox 195	Office Supplies	Xerox	Las Vegas	Nevada	West	1/31/2015	Standard Class	0.00%	$19.00	48.00%	$40.00
1/20/2015	CA-2015-102652	3	Andy Yotov	Corporate	Xerox 211	Office Supplies	Xerox	Los Angeles	California	West	1/23/2015	Standard Class	0.00%	$9.00	48.00%	$19.00
1/21/2015	CA-2015-102652	7	Andy Yotov	Corporate	C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings	Furniture	C-Line	Los Angeles	California	West	1/23/2015	Standard Class	0.00%	$13.00	39.00%	$33.00
1/23/2015	CA-2015-102652	1	Andy Yotov	Corporate	Xerox 194	Office Supplies	Xerox	Los Angeles	California	West	1/23/2015	Standard Class	0.00%	$27.00	48.00%	$55.00
1/23/2015	CA-2015-102652	2	Andy Yotov	Corporate	Tenex B1-RE Series Chair Mats for Low Pile Carpets	Furniture	Tenex	Los Angeles	California	West	1/23/2015	Standard Class	0.00%	$16.00	17.00%	$92.00
1/26/2015	CA-2015-102673	5	Ken Heidel	Corporate	Staples	Office Supplies	Other	Charlotte	North Carolina	South	2/2/2015	Standard Class	20.00%	$1.00	19.00%	$8.00
1/26/2015	CA-2015-102673	3	Ken Heidel	Corporate	Newell 320	Office Supplies	Newell	Charlotte	North Carolina	South	2/2/2015	Standard Class	20.00%	$1.00	9.00%	$10.00
1/26/2015	CA-2015-102673	12	Ken Heidel	Corporate	Avery 513	Office Supplies	Avery	Charlotte	North Carolina	South	2/2/2015	Standard Class	20.00%	$16.00	33.00%	$48.00
1/26/2015	CA-2015-102673	9	Ken Heidel	Corporate	Cisco IP Phone 7961G VoIP phone - Dark gray	Technology	Cisco	Charlotte	North Carolina	South	2/2/2015	Standard Class	20.00%	$110.00	11.00%	$979.00
1/26/2015	CA-2015-102869	3	Logan Currie	Consumer	Xerox 210	Office Supplies	Xerox	Philadelphia	Pennsylvania	East	2/4/2015	Second Class	20.00%	$5.00	35.00%	$16.00
1/26/2015	CA-2015-102869	3	Logan Currie	Consumer	Master Caster Door Stop, Large Neon Orange	Furniture	Master Caster	Philadelphia	Pennsylvania	East	2/4/2015	Second Class	20.00%	$5.00	29.00%	$17.00
1/26/2015	CA-2015-102869	6	Logan Currie	Consumer	Rosewill 107 Normal Keys USB Wired Standard Keyboard	Technology	Other	Philadelphia	Pennsylvania	East	2/4/2015	Second Class	20.00%	-$5.00	-8.00%	$65.00
1/26/2015	CA-2015-102869	1	Logan Currie	Consumer	Polycom SoundPoint IP 450 VoIP phone	Technology	Polycom	Philadelphia	Pennsylvania	East	2/4/2015	Second Class	40.00%	-$32.00	-23.00%	$136.00
1/26/2015	CA-2015-102988	2	Greg Maxwell	Corporate	Xerox 1957	Office Supplies	Xerox	Alexandria	Virginia	South	2/1/2015	Second Class	0.00%	$6.00	49.00%	$13.00
1/27/2015	CA-2015-102988	7	Greg Maxwell	Corporate	Crayola Colored Pencils	Office Supplies	Crayola	Alexandria	Virginia	South	2/1/2015	Second Class	0.00%	$8.00	33.00%	$23.00
1/27/2015	CA-2015-102988	7	Greg Maxwell	Corporate	Newell 321	Office Supplies	Newell	Alexandria	Virginia	South	2/1/2015	Second Class	0.00%	$7.00	29.00%	$23.00
1/27/2015	CA-2015-102988	1	Greg Maxwell	Corporate	AT&T CL82213	Technology	AT&T	Alexandria	Virginia	South	2/1/2015	Second Class	0.00%	$8.00	29.00%	$29.00
1/28/2015	CA-2015-102988	5	Greg Maxwell	Corporate	Martin Yale Chadless Opener Electric Letter Opener	Office Supplies	Martin-Yale	Alexandria	Virginia	South	2/1/2015	Second Class	0.00%	$83.00	2.00%	$4,164.00
1/30/2015	CA-2015-103058	2	Alejandro Grove	Consumer	Case Logic 2.4GHz Wireless Keyboard	Technology	Other	New York City	New York	East	2/7/2015	First Class	0.00%	$8.00	8.00%	$100.00
1/30/2015	CA-2015-103086	2	Evan Bailliet	Consumer	G.E. Longer-Life Indoor Recessed Floodlight Bulbs	Furniture	G. E.	Houston	Texas	Central	2/3/2015	Second Class	60.00%	-$2.00	-30.00%	$5.00
1/31/2015	CA-2015-103100	1	Adrian Barton	Consumer	Avery 487	Office Supplies	Avery	Indianapolis	Indiana	Central	2/8/2015	First Class	0.00%	$2.00	47.00%	$4.00
2/1/2015	CA-2015-103100	3	Adrian Barton	Consumer	Ibico Ibimaster 300 Manual Binding System	Office Supplies	Ibico	Indianapolis	Indiana	Central	2/8/2015	First Class	0.00%	$497.00	45.00%	$1,104.00
2/2/2015	CA-2015-103191	3	Vivek Grady	Corporate	SAFCO Commercial Wire Shelving, Black	Office Supplies	SAFCO	Chicago	Illinois	Central	2/4/2015	Standard Class	20.00%	-$83.00	-25.00%	$332.00
2/2/2015	CA-2015-103219	9	Benjamin Farhat	Home Office	Eldon 200 Class Desk Accessories, Black	Furniture	Eldon	New York City	New York	East	2/4/2015	Standard Class	0.00%	$21.00	38.00%	$57.00
2/2/2015	CA-2015-103310	2	Greg Matthias	Consumer	Southworth 25% Cotton Premium Laser Paper and Envelopes	Office Supplies	Southworth	San Jose	California	West	2/3/2015	Standard Class	0.00%	$19.00	48.00%	$40.00
2/3/2015	CA-2015-103310	6	Greg Matthias	Consumer	Acme Design Stainless Steel Bent Scissors	Office Supplies	Acme	San Jose	California	West	2/3/2015	Standard Class	0.00%	$11.00	27.00%	$41.00
2/3/2015	CA-2015-103310	1	Greg Matthias	Consumer	Hon Pagoda Stacking Chairs	Furniture	Hon	San Jose	California	West	2/3/2015	Standard Class	20.00%	$32.00	13.00%	$257.00
2/4/2015	CA-2015-103310	5	Greg Matthias	Consumer	Wilson Electronics DB Pro Signal Booster	Technology	Other	San Jose	California	West	2/4/2015	Standard Class	20.00%	$125.00	9.00%	$1,432.00
2/4/2015	CA-2015-103317	5	Don Miller	Corporate	Wilson Jones Four-Pocket Poly Binders	Office Supplies	Wilson Jones	Palm Coast	Florida	South	2/5/2015	First Class	70.00%	-$7.00	-70.00%	$10.00
2/4/2015	CA-2015-103317	2	Don Miller	Corporate	Advantus Panel Wall Certificate Holder - 8.5x11	Furniture	Advantus	Palm Coast	Florida	South	2/5/2015	First Class	20.00%	$5.00	28.00%	$20.00
2/6/2015	CA-2015-103317	3	Don Miller	Corporate	Luxo Adjustable Task Clamp Lamp	Furniture	Luxo	Palm Coast	Florida	South	2/6/2015	First Class	20.00%	$16.00	8.00%	$213.00
2/6/2015	CA-2015-103331	1	Karl Braun	Consumer	Avoid Verbal Orders Carbonless Minifold Book	Office Supplies	Other	Newark	Delaware	East	2/7/2015	Standard Class	0.00%	$2.00	46.00%	$3.00
2/6/2015	CA-2015-103331	4	Karl Braun	Consumer	Acrylic Self-Standing Desk Frames	Furniture	Other	Newark	Delaware	East	2/7/2015	Standard Class	0.00%	$4.00	38.00%	$11.00
2/6/2015	CA-2015-103331	3	Karl Braun	Consumer	Xerox 1978	Office Supplies	Xerox	Newark	Delaware	East	2/7/2015	Standard Class	0.00%	$8.00	49.00%	$17.00
2/7/2015	CA-2015-103366	5	Erica Hackney	Consumer	Logitech 910-002974 M325 Wireless Mouse for Web Scrolling	Technology	Logitech	Roswell	Georgia	South	2/14/2015	First Class	0.00%	$66.00	44.00%	$150.00
2/7/2015	CA-2015-103373	2	Bruce Stewart	Consumer	Apple iPhone 5	Technology	Apple	Cleveland	Ohio	East	2/19/2015	Standard Class	40.00%	-$169.00	-22.00%	$780.00
2/8/2015	CA-2015-103401	2	Georgia Rosenberg	Corporate	Xerox 211	Office Supplies	Xerox	San Francisco	California	West	2/10/2015	Standard Class	0.00%	$6.00	48.00%	$13.00
2/11/2015	CA-2015-103429	2	Laurel Workman	Corporate	GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2" x 11"	Office Supplies	GBC	New York City	New York	East	2/23/2015	First Class	20.00%	$9.00	35.00%	$26.00
2/11/2015	CA-2015-103429	4	Laurel Workman	Corporate	Xerox 1948	Office Supplies	Xerox	New York City	New York	East	2/23/2015	First Class	0.00%	$18.00	45.00%	$40.00
2/11/2015	CA-2015-103429	3	Laurel Workman	Corporate	Honeywell Quietcare HEPA Air Cleaner	Office Supplies	Honeywell	New York City	New York	East	2/23/2015	First Class	0.00%	$78.00	33.00%	$236.00
2/11/2015	CA-2015-103429	5	Laurel Workman	Corporate	Geemarc AmpliPOWER60	Technology	Other	New York City	New York	East	2/23/2015	First Class	0.00%	$135.00	29.00%	$464.00
2/11/2015	CA-2015-103492	1	Craig Molinari	Corporate	Avery Non-Stick Binders	Office Supplies	Avery	Huntsville	Texas	Central	2/19/2015	Standard Class	80.00%	-$2.00	-175.00%	$1.00
2/11/2015	CA-2015-103492	5	Craig Molinari	Corporate	GBC Personal VeloBind Strips	Office Supplies	GBC	Huntsville	Texas	Central	2/19/2015	Standard Class	80.00%	-$19.00	-160.00%	$12.00
2/11/2015	CA-2015-103492	6	Craig Molinari	Corporate	Motorola Droid Maxx	Technology	Motorola	Huntsville	Texas	Central	2/19/2015	Standard Class	20.00%	$72.00	10.00%	$720.00
2/11/2015	CA-2015-103492	7	Craig Molinari	Corporate	Cisco 8x8 Inc. 6753i IP Business Phone System	Technology	Cisco	Huntsville	Texas	Central	2/19/2015	Standard Class	20.00%	$66.00	9.00%	$756.00
2/11/2015	CA-2015-103527	3	Chris Cortes	Consumer	Ampad Poly Cover Wirebound Steno Book, 6" x 9" Assorted Colors, Gregg Ruled	Office Supplies	Ampad	Chicago	Illinois	Central	2/23/2015	Second Class	20.00%	$3.00	31.00%	$11.00
2/12/2015	CA-2015-103590	4	Jeremy Lonsdale	Consumer	Park Ridge Embossed Executive Business Envelopes	Office Supplies	Other	Mount Vernon	New York	East	2/20/2015	Standard Class	0.00%	$29.00	47.00%	$62.00
2/14/2015	CA-2015-103660	7	Mitch Webber	Consumer	Polycom VVX 310 VoIP phone	Technology	Polycom	Seattle	Washington	West	2/19/2015	Standard Class	20.00%	$76.00	8.00%	$1,008.00
2/14/2015	CA-2015-103702	7	Art Foster	Consumer	Premier Elliptical Ring Binder, Black	Office Supplies	Premier	Fairfield	Ohio	East	2/20/2015	Standard Class	70.00%	-$47.00	-73.00%	$64.00
2/14/2015	CA-2015-103744	3	Michael Grace	Home Office	GBC Plastic Binding Combs	Office Supplies	GBC	El Paso	Texas	Central	2/23/2015	Standard Class	80.00%	-$7.00	-155.00%	$4.00
2/14/2015	CA-2015-103744	3	Michael Grace	Home Office	Staple-on labels	Office Supplies	Staple-on labels	El Paso	Texas	Central	2/23/2015	Standard Class	20.00%	$2.00	34.00%	$7.00
2/15/2015	CA-2015-103800	2	Darren Powers	Consumer	Message Book, Wirebound, Four 5 1/2" X 4" Forms/Pg., 200 Dupl. Sets/Book	Office Supplies	Message Book	Houston	Texas	Central	2/18/2015	Standard Class	20.00%	$6.00	34.00%	$16.00
2/16/2015	CA-2015-103807	1	Elizabeth Moffitt	Corporate	Kingston Digital DataTraveler 8GB USB 2.0	Technology	Kingston	Sandy Springs	Georgia	South	2/21/2015	Standard Class	0.00%	$1.00	14.00%	$6.00
2/16/2015	CA-2015-103807	3	Elizabeth Moffitt	Corporate	RSVP Cards & Envelopes, Blank White, 8-1/2" X 11", 24 Cards/25 Envelopes/Set	Office Supplies	Other	Sandy Springs	Georgia	South	2/21/2015	Standard Class	0.00%	$7.00	47.00%	$15.00
2/17/2015	CA-2015-103849	2	Paul Gonzalez	Consumer	SanDisk Cruzer 64 GB USB Flash Drive	Technology	SanDisk	Fort Worth	Texas	Central	2/22/2015	Standard Class	20.00%	$7.00	13.00%	$58.00
2/18/2015	CA-2015-103849	4	Paul Gonzalez	Consumer	Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting	Furniture	Deflect-o	Fort Worth	Texas	Central	2/22/2015	Standard Class	60.00%	-$84.00	-128.00%	$66.00
2/18/2015	CA-2015-103849	1	Paul Gonzalez	Consumer	Xblue XB-1670-86 X16 Small Office Telephone - Titanium	Technology	Other	Fort Worth	Texas	Central	2/22/2015	Standard Class	20.00%	$6.00	6.00%	$101.00
2/20/2015	CA-2015-103940	2	Bradley Nguyen	Consumer	Eldon Gobal File Keepers	Office Supplies	Eldon	Seattle	Washington	West	2/22/2015	Standard Class	0.00%	$1.00	4.00%	$30.00
2/20/2015	CA-2015-103940	2	Bradley Nguyen	Consumer	Executive Impressions 12" Wall Clock	Furniture	Executive Impressions	Seattle	Washington	West	2/22/2015	Standard Class	0.00%	$13.00	38.00%	$35.00
2/20/2015	CA-2015-103940	3	Bradley Nguyen	Consumer	Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black	Office Supplies	Eldon	Seattle	Washington	West	2/22/2015	Standard Class	0.00%	$16.00	28.00%	$58.00
2/21/2015	CA-2015-103940	5	Bradley Nguyen	Consumer	GBC Prestige Therm-A-Bind Covers	Office Supplies	GBC	Seattle	Washington	West	2/22/2015	Standard Class	20.00%	$46.00	34.00%	$137.00
2/22/2015	CA-2015-103989	3	Matt Connell	Corporate	Eldon Wave Desk Accessories	Furniture	Eldon	Lakeland	Florida	South	3/2/2015	First Class	20.00%	$1.00	28.00%	$5.00
2/23/2015	CA-2015-103989	4	Matt Connell	Corporate	Avery 501	Office Supplies	Avery	Lakeland	Florida	South	3/2/2015	First Class	20.00%	$4.00	34.00%	$12.00
2/23/2015	CA-2015-103989	3	Matt Connell	Corporate	Document Clip Frames	Furniture	Other	Lakeland	Florida	South	3/2/2015	First Class	20.00%	$6.00	28.00%	$20.00
2/24/2015	CA-2015-103989	3	Matt Connell	Corporate	Crate-A-Files	Office Supplies	Other	Lakeland	Florida	South	3/2/2015	First Class	20.00%	$2.00	7.00%	$26.00
2/24/2015	CA-2015-103989	5	Matt Connell	Corporate	Avery Flip-Chart Easel Binder, Black	Office Supplies	Avery	Lakeland	Florida	South	3/2/2015	First Class	70.00%	-$26.00	-77.00%	$34.00
2/27/2015	CA-2015-103989	2	Matt Connell	Corporate	Logitech Wireless Boombox Speaker - portable - wireless, wired	Technology	Logitech	Lakeland	Florida	South	3/2/2015	First Class	20.00%	$53.00	31.00%	$170.00
3/1/2015	CA-2015-103989	3	Matt Connell	Corporate	Cisco 8x8 Inc. 6753i IP Business Phone System	Technology	Cisco	Lakeland	Florida	South	3/2/2015	First Class	20.00%	$28.00	9.00%	$324.00
3/1/2015	CA-2015-104178	1	Janet Molinari	Corporate	Eldon 200 Class Desk Accessories, Smoke	Furniture	Eldon	Los Angeles	California	West	3/8/2015	Standard Class	0.00%	$3.00	42.00%	$6.00
3/1/2015	CA-2015-104178	4	Janet Molinari	Corporate	Xerox 23	Office Supplies	Xerox	Los Angeles	California	West	3/8/2015	Standard Class	0.00%	$12.00	48.00%	$26.00
3/1/2015	CA-2015-104178	4	Janet Molinari	Corporate	Portable Personal File Box	Office Supplies	Other	Los Angeles	California	West	3/8/2015	Standard Class	0.00%	$13.00	27.00%	$49.00
3/1/2015	CA-2015-104178	5	Janet Molinari	Corporate	SanDisk Cruzer 32 GB USB Flash Drive	Technology	SanDisk	Los Angeles	California	West	3/8/2015	Standard Class	0.00%	$30.00	32.00%	$95.00
